Step,Price,Tokens,Value(USD),Cumulative Tokens,Cumulative Value(USD)
138,0.025523,5421686.7470,138377.710844,748192771.0860,2903616.867478
139,0.026799,5421686.7470,145295.783133,753614457.8330,3048912.650611
140,0.028138,5421686.7470,152555.421687,759036144.5800,3201468.072298
141,0.029545,5421686.7470,160183.734940,764457831.3270,3361651.807238
142,0.031021,5421686.7470,168186.144579,769879518.0740,3529837.951817
143,0.032572,5421686.7470,176595.180723,775301204.8210,3706433.132540
144,0.034200,5421686.7470,185421.686747,780722891.5680,3891854.819287
145,0.035909,5421686.7470,194687.349398,786144578.3150,4086542.168685
146,0.037704,5421686.7470,204419.277109,791566265.0620,4290961.445794
147,0.039588,5421686.7470,214633.734940,796987951.8090,4505595.180734
148,0.041567,5421686.7470,225363.253013,802409638.5560,4730958.433747
149,0.043644,5421686.7470,236624.096386,807831325.3030,4967582.530133
150,0.045825,5421686.7470,248448.795181,813253012.0500,5216031.325314
151,0.048116,5421686.7470,260869.879519,818674698.7970,5476901.204833
152,0.050520,5421686.7470,273903.614458,824096385.5440,5750804.819291
153,0.053045,5421686.7470,287593.373495,829518072.2910,6038398.192786
154,0.055697,5421686.7470,301971.686748,834939759.0380,6340369.879534
155,0.058480,5421686.7470,317060.240965,840361445.7850,6657430.120499
156,0.061403,5421686.7470,332907.831326,845783132.5320,6990337.951825
157,0.064472,5421686.7470,349546.987953,851204819.2790,7339884.939778
158,0.067694,5421686.7470,367015.662651,856626506.0260,7706900.602429
159,0.071078,5421686.7470,385362.650603,862048192.7730,8092263.253032
160,0.074630,5421686.7470,404620.481929,867469879.5200,8496883.734961
161,0.078360,5421686.7470,424843.373495,872891566.2670,8921727.108456
162,0.082277,5421686.7470,446080.120483,878313253.0140,9367807.228939
163,0.086389,5421686.7470,468374.096387,883734939.7610,9836181.325326
164,0.090706,5421686.7470,491779.518073,889156626.5080,10327960.843399
165,0.095240,5421686.7470,516361.445784,894578313.2550,10844322.289183
166,0.100000,5421686.7470,542168.674700,900000000.0020,11386490.963883
